,ChenChao_RNA,Dave_RNA,Eric_RNA,Ethan_RNA,Khaondo_RNA,Niyilolawa_RNA,Pedro_RNA,Srivathani_RNA
TCEANC2,6.46648184969737e-63,2.5451497287651e-64,2.55949881471794e-44,3.12677051743934e-64,2.88890252071998e-58,3.29912151247642e-66,3.50823843666501e-58,1.68141005457345e-39
PRKAG2,3.0045490953853397e-62,1.21612227076843e-46,9.99123493160855e-64,3.80558181508898e-73,2.3733164536957198e-80,2.53590902052682e-68,7.76861787960334e-64,1.39667737638482e-58
RSAD2,3.45848872066203e-62,4.45422694389905e-59,1.00273082426596e-71,1.2596193858679301e-74,8.73165336916059e-51,6.90792582118179e-36,1.84750440733087e-70,1.50574989550482e-47
WARS1,1.0683656390035e-61,3.9393642583751e-42,7.19827963719152e-90,4.18701536189073e-101,3.49081808325361e-80,1.3781922099598e-61,6.31640657667554e-76,2.67781790544638e-54
OAS3,1.1030988793939801e-61,9.89621600179588e-65,2.00727663619654e-197,7.44015263181109e-158,3.8676598191378895e-49,1.26634628024302e-84,3.0587923869798503e-106,8.274002183130321e-73
BLZF1,1.8617040402848803e-61,9.866396504048491e-52,4.713171525227011e-47,3.76453045966479e-71,8.63198536054323e-71,1.9345327609915297e-40,8.7755760792425e-54,5.3470436459059706e-46
ENDOD1,1.87584164801118e-61,2.99717240301674e-48,7.56133825597381e-84,2.54204272493219e-87,2.0913419600637e-40,1.12170096329925e-59,2.23653824321738e-62,5.11951750717717e-41
STAP1,3.92098186966419e-61,1.37137285726778e-73,5.99521848633991e-37,1.38518548692667e-76,4.58741782130415e-53,6.7974553792498195e-50,2.19034102360203e-50,1.94220159190852e-49
DCBLD1,4.8355607922661106e-61,4.6081626108914295e-22,8.06223826753844e-61,4.36134002936419e-78,5.54373185947943e-69,1.04307582640846e-59,3.0611112738043898e-62,3.53516335782952e-47
STAT2,2.11714664701681e-60,4.3426780783614497e-41,9.2784201956975e-71,2.53296796283441e-66,5.91817301324494e-58,2.61304287949019e-53,2.47171902361955e-66,1.12425581904656e-46
SPTLC2,1.16877532142514e-59,2.7732070078123404e-35,2.4903246384782702e-45,5.76752327990813e-59,1.52459776825252e-52,2.71769629131184e-58,1.8688747658342098e-56,6.80998528485559e-45
HYCC1,1.67954730581382e-59,5.68218685661138e-41,4.0666244800662e-45,2.98801972992739e-51,5.06309664827526e-49,3.95368987015692e-48,7.815011978599869e-49,5.8385338370278495e-43
IGFBP4,3.83801824381482e-59,6.56725738524982e-47,6.64452507959055e-67,2.16510130972312e-101,5.76080394388154e-84,9.53093512644251e-80,8.64555264472936e-60,8.04277270592469e-53
PML,1.04886334452104e-58,2.6682027263396802e-45,7.41920612286001e-50,1.09314734494484e-59,1.92179647544362e-75,1.7044838225032202e-60,1.0425992102917599e-57,4.966008270309851e-46
RAB29,1.0967095723330901e-58,2.4096813858034e-58,2.02442789712914e-75,1.38016760264476e-97,3.98933744374682e-70,2.46394442381955e-102,1.23857455523173e-49,5.53420734423516e-48
LOC100419583,1.4240724100130501e-58,2.09968835668857e-20,4.02404588658325e-73,3.08078105066427e-56,4.24903570373799e-40,6.54474146955687e-38,1.45972588816411e-49,5.0955473334101295e-36
NMI,1.5371272349962902e-58,6.63349181273963e-33,2.07365211001387e-64,3.8361769285889397e-78,6.08647641731673e-41,1.2301370107929e-60,1.35176769754789e-66,4.64625184335293e-50
IRF1-AS1,6.4799188650784e-58,7.852524721373309e-40,1.9414016033024501e-118,9.380488971190409e-107,2.9358076328949798e-80,5.205474834146e-75,5.948993952912869e-82,9.48679889950513e-41
TAP1,6.53268105393643e-57,6.70103968743412e-30,3.07357888260103e-77,2.4124406316165097e-70,6.1095260439474e-69,2.19552553196288e-61,3.90311280424783e-76,1.38438410327372e-51
RNF24,6.91005566453613e-56,2.05201448857877e-75,1.21310885233345e-44,5.6590733335654906e-58,9.53665745291994e-65,3.7565918083343802e-59,3.11300328849597e-41,2.15280906935367e-53
TRIM21,8.590051764313709e-55,1.08474105728876e-46,2.6172230464014402e-76,4.01215008057241e-87,5.13390367296259e-57,8.043446364383821e-61,5.65430352112077e-55,3.3157825088767804e-44
CHST12,1.08056259362547e-54,5.73832208659939e-26,2.4042807039122202e-37,8.81579555964802e-80,1.25385658858243e-91,2.01572290988602e-56,1.3729501765778201e-67,5.8010675133260195e-49
HAPLN3,1.8855637477495302e-54,4.14943293660721e-26,4.56963033166513e-89,4.4350258944274e-87,4.37633094657635e-61,1.30804575862346e-38,7.89743969442476e-69,3.4346329025955796e-36
DBF4B,3.4018535118654304e-54,4.144508769127601e-68,1.1812996546920301e-35,2.0839646601981802e-63,1.03822470584484e-52,1.00596251141777e-70,1.6823170656374e-64,3.26490253133421e-42
IL1RN,3.01881645443098e-53,1.93420428551202e-72,5.471484766946919e-16,2.10019882517017e-68,2.7863740420157403e-38,6.00801650643024e-50,1.0536594607158e-42,3.36025508316386e-54
UBE2L6,3.0268293518949402e-53,2.3412827748302203e-31,9.19950340650725e-117,4.07434331363081e-108,2.4886885493759402e-60,1.89105650618792e-69,2.2940056245901001e-85,1.46403375546163e-59
IFI44L,3.11855333276767e-53,3.68652272570604e-77,7.97716642191533e-217,8.20204366234074e-95,5.10393684321992e-25,1.08419353824933e-59,2.2122536345389797e-55,1.84489253228237e-36
RUFY4,4.95583297845218e-53,1.54744679797463e-43,8.93715398660404e-24,3.8578332888560303e-59,1.6719854969141802e-23,5.67419720649998e-51,3.81412882575563e-52,9.390588006870801e-48
PLEKHG7,7.0708895172129605e-53,2.09848467422203e-30,5.43817027515081e-56,1.42313033618193e-58,6.58984762044427e-44,1.86800102890935e-60,9.918959439834109e-55,1.5002239375038698e-36
RBM43,2.5682278149454502e-52,2.72549929665962e-31,8.29482383477216e-35,5.0503498715352796e-49,9.461536271477759e-62,1.04307582640846e-59,7.58867170694999e-50,4.47505461324756e-44
PARP10,4.56713567944073e-52,7.1454276065710205e-25,2.82176074531203e-61,1.0962757755910701e-67,5.1207312224935696e-70,4.55130017106565e-61,1.7572977569719202e-73,2.12765911309258e-49
IRF7,5.00122036502877e-52,5.93873212552147e-54,6.50072595920389e-70,5.26011183051845e-72,1.45591072186436e-50,2.84733952925074e-46,3.72257482881315e-51,5.93743703295408e-38
TRIM26,2.62792966418966e-51,8.09657199804381e-35,3.61456838968358e-30,1.2105080461703599e-43,1.77595441000645e-53,1.15345091775639e-38,7.03709647372758e-36,1.5098945397188701e-31
UNC93B1,3.69953113136508e-51,7.38122777690447e-58,5.7087877169988296e-55,6.558166554509441e-44,2.12604768775466e-51,2.48387636232886e-56,1.92311445859107e-60,9.18795915743997e-37
PARP8,3.86098116215012e-51,2.2962212998709e-25,5.74126124022556e-32,3.58441492645358e-54,4.1508401695193e-64,8.71759009919194e-54,2.27753234424793e-51,4.02553208636833e-38
GBP5,8.87390827908454e-51,6.811946224594789e-57,1.71489401102448e-57,8.80582054268285e-105,8.361885585407921e-54,5.49034426325889e-58,5.86604375259503e-75,3.0998005267050104e-35
NEXN,9.74150562234882e-51,3.47393134856865e-26,9.95458838886296e-59,3.64975076748028e-43,4.68723610075308e-64,3.05255428606977e-39,7.25878834037775e-42,9.165770602564379e-36
BCL2L1-AS1,1.32441560334737e-50,2.4846845159409e-25,7.0255989565968e-18,1.3169991128713899e-29,1.1702553252553401e-52,8.7633636650357e-54,2.24839405264648e-40,9.22643893283438e-27
RNF213,2.11297006529721e-50,4.63671679422365e-30,1.4131602974612e-72,3.43980854757215e-56,1.3904440378119201e-67,2.51860197245436e-59,2.6436686015593802e-74,1.4106140989489e-52
CXCL10,5.423517373819269e-50,4.0541230728983303e-53,3.41295728427133e-24,2.89228647622475e-39,8.30724182951843e-48,8.61289666234197e-29,3.66089297423554e-40,1.43265178845707e-29
OASL,1.0474792113913599e-49,3.49183482232465e-46,6.00066777668583e-60,7.63437174863062e-64,1.63721122150589e-41,3.74832187808937e-39,3.41324217971059e-46,2.65111303793409e-39
SP100,2.42706839440906e-49,7.13980069870235e-55,1.1785103662141499e-42,8.210342810071591e-38,1.02337550083013e-33,2.1854897248320597e-40,2.19504300930334e-39,1.56024958376846e-34
