,ChenChao_PRO,Dave_PRO,Eric_PRO,Ethan_PRO,Khaondo_PRO,Niyilolawa_PRO,Pedro_PRO,Srivathani_PRO
L3HYPDH,5.73180758177362e-21,2.42837289015041e-23,7.87317422517064e-13,2.7297361449898597e-26,5.701673594874439e-26,3.3863928235166402e-21,2.36100018717264e-14,5.30391137338276e-18
ANKFY1,1.50733551383046e-20,8.498743925119249e-12,2.3681769022522e-10,3.81990412966952e-13,3.8395680586949504e-19,1.6544416577521001e-18,1.2564008875231198e-11,6.81129363921106e-11
OAS2,3.88893946052162e-39,8.11499975349424e-38,1.62271438405957e-74,8.72312771800672e-63,2.86927630195675e-35,3.12932460888942e-45,8.532900540768499e-43,2.99904684292614e-38
MNDA,1.26311839314346e-29,1.03636526717252e-24,5.58356501515256e-26,5.41991544567552e-24,4.51563882218747e-18,4.09855639600676e-24,1.9602692797689802e-23,7.97178610070456e-19
TDRD7,7.71268141845183e-15,3.33714836269017e-12,1.47909091095768e-12,5.736992889421861e-15,1.35206885357902e-15,3.9247266619174604e-17,3.88456146748276e-17,1.67240503895111e-10
IL15RA,5.27541803931767e-41,1.1454262254585e-12,4.508294277731021e-31,2.1750837078594e-35,2.9085625516876103e-52,1.50989452721006e-36,2.01860380020962e-27,3.1647340050118403e-20
CD38,1.76211485461498e-05,0.0039210582748244,9.51149345870347e-10,1.23800373282995e-08,4.96414213453489e-05,0.0002431060933463,4.94081749236159e-06,0.0004814134039131
GPR141,0.0004638398626641,0.0059895821870945,0.158483818212384,0.150542672130545,0.0116987585832353,0.0506336471889636,0.0903022423170909,0.140894600085172
NT5C3A,1.15575267363751e-63,6.79994357616683e-59,9.40629902064398e-48,1.68863597385761e-58,1.57708246428533e-61,1.02617961244343e-67,1.56752607348023e-50,2.21983520481585e-51
ENPP2,4.40884093206597e-08,0.0001390606775937,8.55965147823493e-12,7.47203887507862e-10,5.61799577320011e-08,2.96442774880514e-10,1.10785174519225e-07,2.36191171045512e-06
EHD4,1.9744269939045602e-19,1.56398981190236e-12,4.16608924133843e-11,5.58624709168962e-14,2.43865879607635e-25,9.775018278083461e-21,2.6550136901634802e-17,1.3263314324830601e-15
RGL1,7.21380134030026e-20,3.13633905427769e-08,1.28877083244588e-10,5.1351055988164906e-09,1.70129304061043e-14,7.5412268621177e-18,1.98106600761656e-16,4.792897530341369e-11
C17orf67,0.0008000320955764,6.589971329542021e-09,1.4971646587394099e-12,2.61166325326614e-14,2.5832763006317396e-11,4.9883192474859e-08,0.000193926792217,2.85552966177673e-05
SAMD9,1.01825691269626e-27,1.01043896585611e-27,1.37783777068899e-28,2.41318530113827e-29,4.7652356442254e-25,3.17181555177123e-27,1.41244301308998e-27,1.39939404077467e-29
ANKIB1,6.39228970345078e-07,6.11944724446151e-07,8.67269916120816e-06,5.93040960228022e-07,0.000166782113078,3.30719695746879e-07,4.32962858582495e-06,0.0021090693362165
PNPT1,5.76747570005708e-90,6.65176173582864e-83,1.15653382174886e-71,1.3551501682814699e-77,8.01781300507077e-92,1.4355476439517502e-98,7.0859083449613e-69,1.30641351277972e-68
CMPK2,3.77997736454134e-27,5.451435767301409e-22,1.29518444757284e-38,4.69909100601754e-35,1.04640506682887e-27,1.60322259007557e-33,1.04895459779229e-31,5.5094950414549004e-24
IFI16,1.59568576770154e-33,3.23832095549674e-37,8.932877318792701e-54,2.82538266476054e-51,2.93135208138266e-29,3.14314762548998e-44,1.04555590750219e-33,1.8036899391810698e-28
GBP1,5.99279858535704e-35,2.18011664705868e-34,1.6610562734156398e-28,2.15141750163075e-27,1.16338393422333e-39,4.6071023585650896e-30,2.70735661263711e-26,7.17538741947799e-21
ISG20,1.15635898883459e-45,7.69896272181054e-30,9.752044302262381e-46,4.4390386048590204e-45,4.47878784995069e-59,6.975593268060829e-40,2.18614998458596e-44,1.0768341997862599e-36
IFIT2,5.25356008204704e-110,1.29375700393413e-99,7.85917354059885e-93,1.73822612522979e-121,1.4788545027883299e-92,1.7224928929765e-157,2.3388677451683102e-121,8.10814999497162e-101
XAF1,1.9352055858195602e-20,2.64953583837392e-14,2.85225949857926e-29,2.86048180026446e-23,1.86993475133366e-13,6.18660905732922e-21,1.3397337207114e-17,1.05309702145075e-14
CNP,2.69407017445375e-21,1.0799675979524e-17,1.54788004818501e-16,1.47918773905001e-18,7.621210753216389e-30,3.27303129797223e-25,3.7421691315703e-21,5.0174663840478104e-20
IFI44,3.20171830294071e-16,1.37402520888575e-20,1.11420527876333e-37,6.0781042141003894e-33,1.78784065984875e-14,5.51679389634168e-23,5.90531625514765e-17,7.71287078707503e-16
N4BP1,5.95059049910275e-16,7.685515720840951e-10,5.50718010747065e-16,5.767896928952311e-17,7.37696966611178e-16,6.75539092353245e-13,7.66877536998896e-16,1.5081602752885599e-12
OAS1,3.31758872196466e-23,1.52988906884617e-26,2.72661339924381e-44,4.14655606081825e-34,6.890443542115659e-18,1.71527833008529e-28,1.21453676711611e-25,7.34414131409843e-24
PI4K2B,2.06763374014375e-82,2.6396184284459703e-60,1.01162092720533e-71,8.02676020307467e-84,2.12493320040729e-93,2.54329062454634e-72,1.02419658027341e-63,9.77583307721639e-71
SIDT1,9.98952215669221e-10,3.46213426778316e-08,7.93030007257401e-16,2.11283166870769e-15,9.39005160836224e-09,3.95274673970184e-08,6.066510753323e-09,1.72488086270479e-05
IFIT1,2.74374504565256e-52,3.03117996843226e-45,3.11111165199963e-69,5.05590784994773e-72,6.83107917933048e-39,3.81074713649665e-64,6.35209569264967e-63,1.6757944589337102e-54
FIG4,8.04560636673333e-27,5.44885001333281e-16,1.02315625592955e-24,2.69871661772329e-28,2.98772924209578e-29,1.3927086243218802e-31,2.80821753764797e-33,4.22556940060429e-20
SAMHD1,2.2837126999132302e-39,1.19568607576717e-26,5.803000319651731e-25,7.0044469932878e-26,9.8087829666801e-35,1.12147674671e-33,5.67849884823064e-27,6.91783344080165e-25
TCEANC2,2.5416248611801e-09,5.273085527315619e-12,1.41515273178037e-08,4.99967805635769e-10,3.0343699698631502e-09,9.90438149571271e-08,1.09278117312776e-08,0.000277186867129
PRKAG2,8.70982799571368e-50,1.91825660953337e-37,1.41283121300928e-38,7.50051051774614e-42,2.7876781206690702e-61,1.61267026319285e-45,2.47986172818739e-30,4.96141768992171e-39
RSAD2,5.785963711907799e-35,6.05253439946784e-34,4.98954279120123e-33,6.45465774618251e-34,1.29059774494298e-33,4.74535552063685e-37,3.92870239246922e-37,1.6774868815515998e-31
WARS1,3.33471929360359e-27,8.99322790886165e-22,3.64787167663811e-17,5.121442058029551e-25,2.5233717161872e-31,4.1975744927169297e-22,7.09221040229797e-26,3.0841883143807404e-20
OAS3,3.28360950555289e-13,4.440254593098699e-12,2.9423769156003298e-18,8.62347099737717e-16,2.0499989284550797e-11,2.1444851452844e-14,4.22847510148929e-13,1.6236493549168e-11
BLZF1,2.03841881269634e-11,8.95951910310139e-10,1.8273457084759e-09,3.10920281536825e-10,1.83635182685208e-10,6.7394444773867e-09,3.17806213983458e-07,2.05701445322064e-08
